"","retroYear","LRP","LRP_lwr","LRP_upr","BMmodel","LRPmodel","useGenMean","integratedModel"
"1",1967,236016.894605482,-104529451.127641,105001484.916852,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"2",1968,301140.303567016,248868.712895114,353411.894238918,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"3",1969,301122.217410867,248994.708836553,353249.725985182,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"4",1970,301121.912780649,248994.311875313,353249.513685985,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"5",1971,208523.928435969,-50424410.0799239,50841457.9367958,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"6",1972,279402.482167972,200502.381021352,358302.583314592,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"7",1973,211096.26257678,-28166255.7660087,28588448.2911623,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"8",1974,211913.00125719,-1796901.43503392,2220727.4375483,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"9",1975,273920.580881842,201050.832270458,346790.329493227,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"10",1976,445618.958617695,306586.636916988,584651.280318403,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"11",1977,429002.897393765,286464.348343213,571541.446444317,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"12",1978,450437.698900061,333716.892839355,567158.504960767,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"13",1979,449721.893894826,335091.797852305,564351.989937347,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"14",1980,449305.077723699,336031.804583146,562578.350864252,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"15",1981,446263.822283619,339354.209288082,553173.435279156,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"16",1982,445414.608194308,340670.704454217,550158.511934398,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"17",1983,438637.088964645,343110.332615389,534163.845313901,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"18",1984,405075.701835318,307246.251942583,502905.151728054,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"19",1985,431609.429357146,329721.219599362,533497.639114929,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"20",1986,537538.731813716,417325.593166445,657751.870460987,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"21",1987,578560.75712451,447645.10737975,709476.406869269,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"22",1988,575768.848895831,448918.82063656,702618.877155102,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"23",1989,535648.421426863,379210.820819194,692086.022034531,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"24",1990,679380.979950085,506349.573211065,852412.386689105,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"25",1991,721380.699190496,495104.876709062,947656.521671931,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"26",1992,825611.197605178,580911.038186527,1070311.35702383,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"27",1993,878580.754460937,590407.447517654,1166754.06140422,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"28",1994,856794.762049942,600355.58385354,1113233.94024634,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"29",1995,887369.996022538,568702.69230262,1206037.29974246,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"30",1996,886765.559827573,549629.270125513,1223901.84952963,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"31",1997,913397.104570392,554356.311441274,1272437.89769951,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"32",1998,887698.715324074,596894.63961738,1178502.79103077,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"33",1999,883218.882720828,604809.734274864,1161628.03116679,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"34",2000,850816.532130943,600253.501033276,1101379.56322861,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"35",2001,1039709.72801381,578486.540521522,1500932.9155061,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"36",2002,1336719.78003196,347059.205022436,2326380.35504149,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"37",2003,1723194.76439671,-528949.031992142,3975338.56078555,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"38",2004,3013827.03942392,-4794493.19517218,10822147.27402,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"39",2005,2226109.52223034,-857045.160195875,5309264.20465655,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"40",2006,2543414.83697619,-2008742.45182224,7095572.12577462,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"41",2007,2134317.4411158,-302476.185686773,4571111.06791836,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"42",2008,1827381.59288947,306556.559021473,3348206.62675747,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"43",2009,1969154.61282592,82518.8499221683,3855790.37572966,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
"44",2010,1946097.53488787,147834.99040514,3744360.0793706,"SR_IndivRicker_NoSurv","BernLogistic",FALSE,TRUE
